,gammalist [deg],d_gamma [deg],F [N], T[N],F_MF [N],F_MD [N],F_MF+F_MD [N],F_MR [N]
73,29.51515,15.48485,0.22621,0.19685,0.06144,0.01153,0.07297000000000001,0.15324
74,29.30303,15.69697,0.23299,0.20318,0.06285,0.01213,0.07498,0.15802
75,29.09091,15.90909,0.24001,0.20973,0.0643,0.01276,0.07705999999999999,0.16295
76,28.87879,16.12121,0.24726,0.21651,0.06579,0.01342,0.07921,0.16805
77,28.66667,16.33333,0.25477,0.22354,0.06733,0.01412,0.08145,0.17331
78,28.45455,16.54545,0.26253,0.23082,0.06892,0.01486,0.08378,0.17874
79,28.24242,16.75758,0.27057,0.23836,0.07057,0.01565,0.08621999999999999,0.18435
80,28.0303,16.9697,0.27888,0.24617,0.07226,0.01647,0.08873,0.19015
81,27.81818,17.18182,0.28749,0.25426,0.07402,0.01734,0.09136,0.19613
82,27.60606,17.39394,0.2964,0.26265,0.07583,0.01826,0.09409,0.20231
83,27.39394,17.60606,0.30562,0.27135,0.07771,0.01923,0.09694,0.20869
84,27.18182,17.81818,0.31517,0.28037,0.07965,0.02025,0.0999,0.21528
85,26.9697,18.0303,0.32507,0.28972,0.08165,0.02133,0.10298,0.22208
86,26.75758,18.24242,0.33532,0.29941,0.08373,0.02248,0.10621,0.22911
87,26.54545,18.45455,0.34594,0.30947,0.08588,0.02368,0.10955999999999999,0.23637
88,26.33333,18.66667,0.35694,0.3199,0.08811,0.02496,0.11306999999999999,0.24387
89,26.12121,18.87879,0.36835,0.33073,0.09042,0.02631,0.11673,0.25162
90,25.90909,19.09091,0.38017,0.34196,0.09282,0.02773,0.12055,0.25962
91,25.69697,19.30303,0.39243,0.35362,0.09531,0.02923,0.12454000000000001,0.26789
92,25.48485,19.51515,0.40514,0.36572,0.09789,0.03083,0.12872,0.27643
93,25.27273,19.72727,0.41833,0.37829,0.10057,0.03251,0.13308,0.28525
94,25.06061,19.93939,0.43201,0.39134,0.10335,0.03429,0.13763999999999998,0.29437
95,24.84848,20.15152,0.4462,0.40489,0.10624,0.03617,0.14241,0.30379
96,24.63636,20.36364,0.46093,0.41897,0.10925,0.03816,0.14740999999999999,0.31352
97,24.42424,20.57576,0.47622,0.4336,0.11238,0.04026,0.15264,0.32357
98,24.21212,20.78788,0.49209,0.4488,0.11564,0.04249,0.15813,0.33396
99,24.0,21.0,0.50858,0.46461,0.11903,0.04484,0.16387,0.3447
